# material: PETG,,,,
# geometry: oct,,,,
# preform_diameter: 20.0,,,,
# material_color: black,,,,
# temperature_C: 160.0,,,,
# drawdown_ratio: 50.0,,,,
# trial_number: 001,,,,
# operator: Luka Morita,,,,
# start_time: 2025-06-20 14:42:42,,,,
# notes: 45 degree alternating raster angle and printed horizontally. For comparison to vertically printed cylindrical preforms,,,,
Time(s),Feed(mm/min),Wind(m/min),Diameter(um),Predicted_diameter(um)
1.22,2,4.99,156.4,400.46
1.42,2.01,4.99,166.18,401.39
1.62,2,4.99,136.85,400.46
1.82,2,4.98,156.4,401
2.02,2.01,4.99,156.4,401.39
2.22,1.99,4.99,127.08,399.53
2.42,2.01,4.99,136.85,401.39
2.62,1.99,4.98,127.08,400.07
2.82,2,4.99,136.85,400.46
3.02,1.99,4.98,117.3,400.07
3.22,2,4.99,127.08,400.46
3.42,2,4.99,136.85,400.46
3.62,2,4.99,107.53,400.46
3.82,2,4.99,127.08,400.46
4.02,2,4.98,117.3,401
4.22,2,4.99,127.08,400.46
4.42,2,4.97,127.08,401.55
4.62,2,4.99,127.08,400.46
4.82,1.99,4.98,136.85,400.07
5.02,2,4.99,136.85,400.46
5.22,1.99,4.99,127.08,399.53
5.42,2,4.99,146.63,400.46
5.62,2,4.99,136.85,400.46
5.82,2,4.99,127.08,400.46
6.02,1.99,4.99,136.85,399.53
6.22,2,4.98,156.4,401
6.42,2.01,5.01,166.18,400.86
6.62,1.99,4.99,166.18,399.53
6.82,2,4.99,175.95,400.46
7.02,2,4.98,166.18,401
7.22,2,4.98,156.4,401
7.42,1.99,4.99,136.85,399.53
7.62,2.01,4.98,146.63,401.94
7.82,2,4.99,156.4,400.46
8.02,2.01,5.01,156.4,400.86
8.22,1.99,4.99,127.08,399.53
8.42,2,4.98,146.63,401
8.62,2,4.99,136.85,400.46
8.82,2,4.98,127.08,401
9.02,2,4.99,136.85,400.46
9.22,2.01,4.98,127.08,401.94
9.42,2,4.99,127.08,400.46
9.62,1.99,4.98,127.08,400.07
9.82,2,4.99,136.85,400.46
10.02,2,4.99,127.08,400.46
10.22,2,4.99,136.85,400.46
10.42,1.99,4.98,136.85,400.07
10.62,2.01,4.99,146.63,401.39
10.82,2.01,4.99,166.18,401.39
11.02,2,4.99,166.18,400.46
11.22,2.01,4.99,156.4,401.39
11.42,2,4.98,166.18,401
11.62,1.99,4.99,166.18,399.53
11.82,2,4.98,166.18,401
12.02,2,4.99,166.18,400.46
12.22,1.99,4.98,156.4,400.07
12.42,2.01,4.98,156.4,401.94
12.62,2,4.98,136.85,401
12.82,2,4.98,146.63,401
13.02,2,4.99,136.85,400.46
13.22,2,4.99,127.08,400.46
13.42,2,4.99,146.63,400.46
13.62,2,4.99,127.08,400.46
13.82,2,4.99,136.85,400.46
14.02,1.99,4.98,127.08,400.07
14.22,2,4.99,136.85,400.46
14.42,1.99,4.99,166.18,399.53
14.62,2.01,4.99,136.85,401.39
14.82,1.99,4.99,127.08,399.53
15.02,2,4.99,117.3,400.46
